3DMST,7.08,1.89
3DMST-CM,6.49,1.85
ADSM,33.9,8.95
AMNet,47.3,3.47
APAP-Stereo,7.53,2.89
AVERAGE_ROB,96.7,72.7
BSM,37.1,13.4
CBMBNet,10,2.69
CBMV,11.7,4.85
CBMV_ROB,9.61,2.42
Cens5,23.3,7.25
CGPT,29.6,5.18
DAWA-F,24.9,6.48
DCNN,8.99,2.2
DDL,28.6,5.18
DeepPruner_ROB,21.3,2.49
Dense-CNN,10.1,4.21
DF,49.2,19.2
DISCO,6.15,0.98
DLCB_ROB,8.92,1.6
DN-CSS_ROB,15.4,2.14
DoGGuided,37,12
DPSimNet_ROB,41.7,29.9
DSGCA,31.3,9.75
DTS,13.6,3.02
EdgeStereo,10.7,1.63
EHCI_net,8.57,3
ELAS,26.6,7.65
ELAS_ROB,25.7,7.19
ETED_ROB,19,4.25
FASW,28,5.12
FBW_ROB,23.9,6.67
FEN-D2DRR,7.89,1.26
FFE,7.39,2.06
GCSVR,15.5,4.78
Glstereo,19.8,7.36
HLSC_cor,26.9,6.38
HSM,10.2,1.36
ICSG,37.7,21.3
IDR,16.8,5.33
IEBIMst,29.2,11.1
IGF,39.1,6.39
INTS,15,2.89
iResNet,20.3,2.85
iResNet_ROB,13,1.75
ISM,39.5,6.45
JEM,30.4,5.95
JMR,10.8,2.3
LALA_ROB,18.4,4.27
LAMC_DSM,19.8,6.3
LCU,17.3,3.63
LFSIR,35.1,5.4
LocalExp,6.52,1.69
LPS,23.2,7.57
LPS,26.2,8.25
LPU,10.3,2.62
LS-ELAS,30.4,9.66
LW-CNN,8.31,2.41
MBM,21.8,6.28
MC-CNN-acrt,10.1,3.81
MC-CNN-fst,11.7,3.87
MC-CNN-WS,14.1,4.63
MC-CNN+RBS,10.8,2.6
MC-CNN+TDSR,10.2,2.28
MCCNN_Layout,9.34,2.34
MCSC,12,3.2
MCV-MFC,21.2,3.07
MDP,13.7,4.75
MEDIAN_ROB,93.6,79.9
MeshStereo,14.9,4.37
MeshStereoExt,9.32,2.32
MotionStereo,34.2,6.57
MPSV,39.8,8.81
MSFNetA,9.93,2.1
MSMD_ROB,23.3,6.46
NaN_ROB,6.76,1.77
NOSS,5.82,1.72
NOSS_ROB,5.82,1.72
NTDE,9.94,2.19
OVOD,9.65,1.71
PDISCO_ROB,11.9,1.31
PDS,11.4,1.98
PFS,19.9,4.82
PMSC,8.2,2.12
PSMNet_2000,23,3.94
PSMNet_ROB,58.5,9.6
PWCA_SGM,28.3,5.23
PWCDC_ROB,18.7,3.48
R-NCC,40.9,19.8
r200high,34.3,23.1
REAF,20.6,4.72
SDR,10.1,2.3
SED,67.6,25.9
SGBM1,23.3,8.11
SGBM1,26.4,8.37
SGBM1,27.4,11.3
SGBM2,25.5,8.27
SGM,17.6,4.83
SGM,21,5.29
SGM,22.1,5.82
SGM_ROB,17.7,5.59
SGM-Forest,7.01,1.65
SGMEPi,16.3,4.57
SIGMRF,32.4,5.44
SLAC,17.3,4.97
SM-AWP,31.1,9.62
SMSSR,31.1,7.21
SNCC,20.4,6.96
SNP-RSM,10.8,2.44
SOU4P-net,11.5,2.62
SPS,21.1,10.4
SSR,33,8.18
TCSCSM,17.9,4.81
TMAP,16,4.42
tMGM-16,16.5,3.96
TSGO,31.3,7.07
UCNN,19.7,5.07
VN,7.05,1.21
WCMA_ROB,33.9,7.25
WDMC,15.6,5.74
XPNet_ROB,12,3.73
