3DMST,7.08,39.9
3DMST-CM,6.49,39.2
ADSM,33.9,120
AMNet,47.3,45.7
APAP-Stereo,7.53,64.1
AVERAGE_ROB,96.7,190
BSM,37.1,171
CBMBNet,10,57.9
CBMV,11.7,88
CBMV_ROB,9.61,51.9
Cens5,23.3,108
CGPT,29.6,78.5
DAWA-F,24.9,82.3
DCNN,8.99,49.4
DDL,28.6,84.1
DeepPruner_ROB,21.3,34.3
Dense-CNN,10.1,97.4
DF,49.2,145
DISCO,6.15,9.55
DLCB_ROB,8.92,30.9
DN-CSS_ROB,15.4,28.9
DoGGuided,37,153
DPSimNet_ROB,41.7,186
DSGCA,31.3,135
DTS,13.6,50
EdgeStereo,10.7,21.6
EHCI_net,8.57,52.7
ELAS,26.6,97.1
ELAS_ROB,25.7,91.5
ETED_ROB,19,36.2
FASW,28,80.6
FBW_ROB,23.9,76.7
FEN-D2DRR,7.89,18.5
FFE,7.39,45.9
GCSVR,15.5,71.8
Glstereo,19.8,108
HLSC_cor,26.9,94.1
HSM,10.2,18.2
ICSG,37.7,201
IDR,16.8,74.1
IEBIMst,29.2,130
IGF,39.1,82.4
INTS,15,52.1
iResNet,20.3,42.7
iResNet_ROB,13,26.7
ISM,39.5,84.1
JEM,30.4,93.5
JMR,10.8,45.4
LALA_ROB,18.4,35.5
LAMC_DSM,19.8,110
LCU,17.3,55.5
LFSIR,35.1,69.1
LocalExp,6.52,36.8
LPS,23.2,87.8
LPS,26.2,94.5
LPU,10.3,55.7
LS-ELAS,30.4,110
LW-CNN,8.31,53.6
MBM,21.8,107
MC-CNN-acrt,10.1,89.9
MC-CNN-fst,11.7,79.3
MC-CNN-WS,14.1,88.8
MC-CNN+RBS,10.8,46.4
MC-CNN+TDSR,10.2,50.3
MCCNN_Layout,9.34,55.4
MCSC,12,64.1
MCV-MFC,21.2,45
MDP,13.7,85.6
MEDIAN_ROB,93.6,209
MeshStereo,14.9,81.1
MeshStereoExt,9.32,49.4
MotionStereo,34.2,73.3
MPSV,39.8,108
MSFNetA,9.93,44.6
MSMD_ROB,23.3,103
NaN_ROB,6.76,39.7
NOSS,5.82,40.1
NOSS_ROB,5.82,40.1
NTDE,9.94,43.6
OVOD,9.65,33.9
PDISCO_ROB,11.9,10.9
PDS,11.4,40.7
PFS,19.9,81.2
PMSC,8.2,48.1
PSMNet_2000,23,57.9
PSMNet_ROB,58.5,98.1
PWCA_SGM,28.3,83
PWCDC_ROB,18.7,46.3
R-NCC,40.9,145
r200high,34.3,227
REAF,20.6,77.4
SDR,10.1,45.1
SED,67.6,142
SGBM1,23.3,116
SGBM1,26.4,125
SGBM1,27.4,125
SGBM2,25.5,121
SGM,17.6,71.5
SGM,21,80.6
SGM,22.1,84.3
SGM_ROB,17.7,82.1
SGM-Forest,7.01,32.9
SGMEPi,16.3,80.4
SIGMRF,32.4,71.4
SLAC,17.3,74.9
SM-AWP,31.1,118
SMSSR,31.1,101
SNCC,20.4,91.7
SNP-RSM,10.8,46.2
SOU4P-net,11.5,51.5
SPS,21.1,162
SSR,33,98.6
TCSCSM,17.9,78.7
TMAP,16,71
tMGM-16,16.5,73.8
TSGO,31.3,98
UCNN,19.7,87.4
VN,7.05,19.8
WCMA_ROB,33.9,103
WDMC,15.6,121
XPNet_ROB,12,30.5
